Image,Original,Ablated,CountDiff,ConfidenceDiff
000.png,0,0,0,N/A
001.png,0,0,0,N/A
002.png,0,0,0,N/A
003.png,0,0,0,N/A
004.png,0,0,0,N/A
005.png,0,0,0,N/A
006.png,0,0,0,N/A
007.png,0,0,0,N/A
008.png,0,0,0,N/A
009.png,0,0,0,N/A
010.png,0,0,0,N/A
